datetime,lat,long,co,no2,o3,pm10,pm25,so2
2018-07-01T00:00:00,40.846951000000004,-73.93364100000001,226.0,37.27,51.14,87.29,23.13,0.06
2018-07-01T01:00:00,40.846951000000004,-73.93364100000001,224.41,47.85,48.05,82.02,21.0,0.09
2018-07-01T02:00:00,40.846951000000004,-73.93364100000001,227.97,46.6,47.17,83.93,22.47,0.08
2018-07-01T03:00:00,40.846951000000004,-73.93364100000001,233.23,45.49,37.19,76.84,24.91,0.08
2018-07-01T04:00:00,40.846951000000004,-73.93364100000001,307.36,53.68,28.7,81.5,23.66,0.07
2018-07-01T05:00:00,40.846951000000004,-73.93364100000001,298.43,57.26,21.33,81.48,28.35,0.07
2018-07-01T06:00:00,40.846951000000004,-73.93364100000001,293.79,55.55,20.69,68.22,29.39,0.06
2018-07-01T07:00:00,40.846951000000004,-73.93364100000001,296.01,43.72,19.21,61.27,28.71,0.07
2018-07-01T08:00:00,40.846951000000004,-73.93364100000001,367.76,34.96,20.22,53.18,27.96,0.07
2018-07-01T09:00:00,40.846951000000004,-73.93364100000001,360.24,43.65,23.96,63.17,25.09,0.06
2018-07-01T10:00:00,40.846951000000004,-73.93364100000001,287.6,43.0,24.09,61.92,25.47,0.23
2018-07-01T11:00:00,40.846951000000004,-73.93364100000001,295.83,34.69,30.42,55.17,23.62,0.08
2018-07-01T12:00:00,40.846951000000004,-73.93364100000001,289.75,32.81,31.04,57.27,26.47,0.08
2018-07-01T13:00:00,40.846951000000004,-73.93364100000001,200.54,37.48,37.36,52.89,23.81,0.08
2018-07-01T14:00:00,40.846951000000004,-73.93364100000001,297.75,37.86,45.72,55.06,24.43,0.07
2018-07-01T15:00:00,40.846951000000004,-73.93364100000001,285.49,46.13,48.25,54.86,27.94,0.08
2018-07-01T16:00:00,40.846951000000004,-73.93364100000001,277.23,37.77,59.69,60.91,35.84,0.06
2018-07-01T17:00:00,40.846951000000004,-73.93364100000001,268.17,36.2,60.07,73.13,26.7,0.1
2018-07-01T18:00:00,40.846951000000004,-73.93364100000001,268.85,40.21,64.4,68.18,26.41,0.09
2018-07-01T19:00:00,40.846951000000004,-73.93364100000001,279.54,40.6,70.54,76.4,26.81,0.07
2018-07-01T20:00:00,40.846951000000004,-73.93364100000001,279.87,42.73,70.77,79.41,31.92,0.07
2018-07-01T21:00:00,40.846951000000004,-73.93364100000001,322.23,35.15,66.37,81.19,24.35,1.14
2018-07-01T22:00:00,40.846951000000004,-73.93364100000001,328.76,41.02,77.84,68.03,23.78,1.15
2018-07-01T23:00:00,40.846951000000004,-73.93364100000001,273.85,45.17,84.34,94.44,31.83,1.24
2018-07-02T00:00:00,40.846951000000004,-73.93364100000001,217.83,48.98,72.02,80.7,28.22,1.22
2018-07-02T00:00:00,40.846951000000004,-73.93364100000001,217.83,48.98,72.02,80.7,28.22,1.22
2018-07-02T01:00:00,40.846951000000004,-73.93364100000001,186.98,48.62,53.51,88.04,27.89,1.51
2018-07-02T02:00:00,40.846951000000004,-73.93364100000001,246.77,49.25,53.0,78.02,36.38,1.45
2018-07-02T03:00:00,40.846951000000004,-73.93364100000001,261.39,51.08,43.27,65.73,28.29,1.35
2018-07-02T04:00:00,40.846951000000004,-73.93364100000001,273.92,52.27,34.29,77.49,26.28,1.29
2018-07-02T05:00:00,40.846951000000004,-73.93364100000001,404.87,45.26,41.35,81.15,36.3,1.64
2018-07-02T06:00:00,40.846951000000004,-73.93364100000001,336.74,55.94,20.64,67.04,34.27,1.27
2018-07-02T07:00:00,40.846951000000004,-73.93364100000001,344.22,41.07,17.18,63.29,31.5,1.27
2018-07-02T08:00:00,40.846951000000004,-73.93364100000001,258.83,55.16,30.18,87.6,29.33,1.3
2018-07-02T09:00:00,40.846951000000004,-73.93364100000001,263.93,24.45,29.68,67.6,27.38,1.3
2018-07-02T10:00:00,40.846951000000004,-73.93364100000001,308.8,41.72,29.01,84.07,23.01,1.11
2018-07-02T11:00:00,40.846951000000004,-73.93364100000001,274.13,48.92,26.21,90.77,22.63,1.06
2018-07-02T12:00:00,40.846951000000004,-73.93364100000001,271.4,53.55,25.79,92.73,25.69,1.1
2018-07-02T13:00:00,40.846951000000004,-73.93364100000001,306.19,60.32,18.21,82.93,32.08,1.31
2018-07-02T14:00:00,40.846951000000004,-73.93364100000001,500.38,65.55,22.67,79.39,38.4,1.78
2018-07-02T15:00:00,40.846951000000004,-73.93364100000001,643.05,61.91,41.8,81.72,40.19,1.8
2018-07-02T16:00:00,40.846951000000004,-73.93364100000001,523.82,58.14,55.59,71.3,40.51,1.86
2018-07-02T17:00:00,40.846951000000004,-73.93364100000001,406.43,47.43,74.76,68.97,28.05,1.43
2018-07-02T18:00:00,40.846951000000004,-73.93364100000001,397.63,54.59,83.97,73.61,31.02,1.1
2018-07-02T19:00:00,40.846951000000004,-73.93364100000001,222.42,44.25,91.16,69.68,31.01,1.13
2018-07-02T20:00:00,40.846951000000004,-73.93364100000001,225.31,48.74,78.47,58.62,28.9,1.15
2018-07-02T21:00:00,40.846951000000004,-73.93364100000001,233.26,50.59,86.71,61.49,30.34,1.16
2018-07-02T22:00:00,40.846951000000004,-73.93364100000001,318.57,43.54,82.23,72.38,33.29,1.08
2018-07-02T23:00:00,40.846951000000004,-73.93364100000001,241.91,46.49,62.83,63.78,30.5,1.19
2018-07-03T00:00:00,40.846951000000004,-73.93364100000001,204.21,39.86,53.28,69.45,29.7,1.2
2018-07-03T00:00:00,40.846951000000004,-73.93364100000001,204.21,39.86,53.28,69.45,29.7,1.2
2018-07-03T01:00:00,40.846951000000004,-73.93364100000001,167.84,46.96,50.07,68.34,35.98,1.14
2018-07-03T02:00:00,40.846951000000004,-73.93364100000001,229.29,46.93,36.19,73.3,24.88,1.11
2018-07-03T03:00:00,40.846951000000004,-73.93364100000001,239.95,50.42,28.25,66.24,31.07,1.12
2018-07-03T04:00:00,40.846951000000004,-73.93364100000001,240.81,45.92,28.8,57.87,30.66,1.12
2018-07-03T05:00:00,40.846951000000004,-73.93364100000001,299.77,36.31,29.19,60.17,33.16,1.12
2018-07-03T06:00:00,40.846951000000004,-73.93364100000001,312.94,38.55,23.06,56.33,33.9,1.12
2018-07-03T07:00:00,40.846951000000004,-73.93364100000001,318.66,42.2,16.09,60.24,34.87,1.13
2018-07-03T08:00:00,40.846951000000004,-73.93364100000001,335.55,44.02,19.63,60.09,30.27,1.09
2018-07-03T09:00:00,40.846951000000004,-73.93364100000001,318.88,39.11,12.36,60.88,34.23,1.13
2018-07-03T10:00:00,40.846951000000004,-73.93364100000001,266.9,43.28,15.07,69.7,29.54,1.01
2018-07-03T11:00:00,40.846951000000004,-73.93364100000001,270.6,37.6,18.36,63.32,27.05,1.1
2018-07-03T12:00:00,40.846951000000004,-73.93364100000001,260.72,51.57,14.09,73.26,31.92,0.8
2018-07-03T13:00:00,40.846951000000004,-73.93364100000001,303.0,58.6,12.15,74.68,32.98,1.09
2018-07-03T14:00:00,40.846951000000004,-73.93364100000001,371.94,46.87,23.07,67.36,34.03,1.08
2018-07-03T15:00:00,40.846951000000004,-73.93364100000001,361.41,43.56,29.33,80.41,34.72,1.1
2018-07-03T16:00:00,40.846951000000004,-73.93364100000001,350.81,52.56,31.12,75.16,32.51,1.14
2018-07-03T17:00:00,40.846951000000004,-73.93364100000001,289.7,51.91,43.08,78.46,29.03,1.14
2018-07-03T18:00:00,40.846951000000004,-73.93364100000001,277.94,47.63,62.06,71.8,29.24,1.14
2018-07-03T19:00:00,40.846951000000004,-73.93364100000001,287.03,47.73,72.2,73.07,32.54,1.19
2018-07-03T20:00:00,40.846951000000004,-73.93364100000001,294.72,47.01,69.7,68.28,28.34,0.85
2018-07-03T21:00:00,40.846951000000004,-73.93364100000001,375.81,45.44,56.4,74.18,30.66,1.01
2018-07-03T22:00:00,40.846951000000004,-73.93364100000001,370.68,41.12,41.48,70.76,27.39,1.06
2018-07-03T23:00:00,40.846951000000004,-73.93364100000001,249.12,51.02,42.78,71.9,25.24,0.84
2018-07-04T00:00:00,40.846951000000004,-73.93364100000001,215.36,49.26,43.68,82.66,17.65,0.69
2018-07-04T00:00:00,40.846951000000004,-73.93364100000001,215.36,49.26,43.68,82.66,17.65,0.69
2018-07-04T01:00:00,40.846951000000004,-73.93364100000001,242.99,51.1,21.15,84.59,22.95,0.59
2018-07-04T02:00:00,40.846951000000004,-73.93364100000001,307.37,55.18,23.59,95.48,21.1,0.59
2018-07-04T03:00:00,40.846951000000004,-73.93364100000001,303.17,54.55,24.28,78.53,18.72,0.6
2018-07-04T04:00:00,40.846951000000004,-73.93364100000001,306.8,47.93,20.02,79.67,22.51,0.59
2018-07-04T05:00:00,40.846951000000004,-73.93364100000001,310.07,41.07,16.59,72.59,20.39,0.59
2018-07-04T06:00:00,40.846951000000004,-73.93364100000001,337.88,34.25,21.51,70.13,20.15,0.58
2018-07-04T07:00:00,40.846951000000004,-73.93364100000001,254.11,26.28,24.9,76.46,23.91,0.6
2018-07-04T08:00:00,40.846951000000004,-73.93364100000001,268.13,37.08,22.21,75.69,22.86,0.6
2018-07-04T09:00:00,40.846951000000004,-73.93364100000001,299.23,35.35,23.57,65.94,21.29,0.6
2018-07-04T10:00:00,40.846951000000004,-73.93364100000001,331.13,48.65,20.02,67.64,23.08,0.56
2018-07-04T11:00:00,40.846951000000004,-73.93364100000001,355.32,33.84,18.88,56.67,23.92,0.6
2018-07-04T12:00:00,40.846951000000004,-73.93364100000001,304.14,41.11,14.22,61.62,24.01,0.64
2018-07-04T13:00:00,40.846951000000004,-73.93364100000001,302.86,53.02,12.96,60.36,26.55,0.64
2018-07-04T14:00:00,40.846951000000004,-73.93364100000001,360.55,45.56,24.83,53.27,26.46,0.58
2018-07-04T15:00:00,40.846951000000004,-73.93364100000001,254.48,46.13,27.54,51.41,27.91,0.62
2018-07-04T16:00:00,40.846951000000004,-73.93364100000001,302.4,45.23,34.34,43.3,29.22,0.62
2018-07-04T17:00:00,40.846951000000004,-73.93364100000001,300.91,44.08,43.47,66.5,29.08,0.66
2018-07-04T18:00:00,40.846951000000004,-73.93364100000001,362.62,42.2,62.18,58.98,26.07,0.59
2018-07-04T19:00:00,40.846951000000004,-73.93364100000001,360.53,38.28,73.76,61.58,26.52,0.58
2018-07-04T20:00:00,40.846951000000004,-73.93364100000001,313.57,34.91,68.31,50.9,28.95,0.58
2018-07-04T21:00:00,40.846951000000004,-73.93364100000001,254.25,45.91,51.58,45.62,17.98,0.67
2018-07-04T22:00:00,40.846951000000004,-73.93364100000001,339.82,40.08,44.43,46.04,19.34,0.58
2018-07-04T23:00:00,40.846951000000004,-73.93364100000001,299.81,39.71,33.59,60.66,22.8,0.59
2018-07-05T00:00:00,40.846951000000004,-73.93364100000001,221.78,43.17,26.23,49.1,21.86,0.64
2018-07-01T00:00:00,40.745616,-73.97305,242.02,38.42,53.91,58.9,21.11,0.06
2018-07-01T01:00:00,40.745616,-73.97305,277.31,44.47,48.18,72.53,20.32,0.09
2018-07-01T02:00:00,40.745616,-73.97305,270.0,52.68,46.46,73.39,18.82,0.08
2018-07-01T03:00:00,40.745616,-73.97305,378.16,51.66,38.29,71.69,22.94,0.08
2018-07-01T04:00:00,40.745616,-73.97305,416.89,63.54,29.67,74.52,24.01,0.08
2018-07-01T05:00:00,40.745616,-73.97305,392.75,69.91,24.72,67.88,21.58,0.08
2018-07-01T06:00:00,40.745616,-73.97305,336.65,58.31,24.4,82.0,21.1,0.07
2018-07-01T07:00:00,40.745616,-73.97305,385.09,49.1,23.12,76.71,22.55,0.07
2018-07-01T08:00:00,40.745616,-73.97305,374.74,51.47,21.42,67.88,22.75,0.07
2018-07-01T09:00:00,40.745616,-73.97305,347.07,50.34,25.13,69.46,23.96,0.06
